salon_name,price_code,size_class,price_from,price_to,currency,source_url,observed_at,notes
Psí salón Zuzana,bath_dry,SMALL,25.00,25.00,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kúpanie a sušenie: malý pes do 8 kg (od 25 €)
Psí salón Zuzana,bath_dry,MEDIUM,35.00,35.00,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kúpanie a sušenie: stredný pes do 20 kg (od 35 €)
Psí salón Zuzana,bath_dry,LARGE,55.00,55.00,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kúpanie a sušenie: veľký pes nad 20 kg (od 55 €)
Psí salón My Champ,full_groom,MINI,45.00,45.00,EUR,https://mychamp.sk/#cennik,2026-09-20,"Luxusný kompletný balíček: MINI do 5 kg (kúpanie, balzam, fénovanie, strih, hygiena)"
Psí salón My Champ,full_groom,SMALL,55.00,55.00,EUR,https://mychamp.sk/#cennik,2026-09-20,Luxusný kompletný balíček: MALÝ do 10 kg (kompletný strih & úprava)
Psí salón My Champ,full_groom,MEDIUM,60.00,60.00,EUR,https://mychamp.sk/#cennik,2026-09-20,Luxusný kompletný balíček: STREDNÝ do 20 kg (hĺbkové vyčesávanie & strih)
Psí salón My Champ,full_groom,LARGE,75.00,75.00,EUR,https://mychamp.sk/#cennik,2026-09-20,Luxusný kompletný balíček: VEĽKÝ nad 20 kg (náročná profesionálna úprava)
Psí salón My Champ,bath_dry,SMALL,20.00,20.00,EUR,https://mychamp.sk/#cennik,2026-09-20,Kúpanie + fénovanie: malý pes do 10 kg
Psí salón My Champ,bath_dry,MEDIUM,25.00,25.00,EUR,https://mychamp.sk/#cennik,2026-09-20,Kúpanie + fénovanie: stredný pes do 20 kg
Psí salón My Champ,bath_dry,LARGE,35.00,35.00,EUR,https://mychamp.sk/#cennik,2026-09-20,Kúpanie + fénovanie: veľký pes do 30 kg
Psí salón My Champ,bath_dry,XL,45.00,45.00,EUR,https://mychamp.sk/#cennik,2026-09-20,Kúpanie + fénovanie: obrí pes nad 30 kg
Salón pre psov Terra,full_groom,MINI,50.00,50.00,EUR,https://www.salonterra.sk/#price,2026-09-20,Kompletná úprava: malý pes do 5 kg (od 50 €)
Salón pre psov Terra,full_groom,SMALL,60.00,60.00,EUR,https://www.salonterra.sk/#price,2026-09-20,Kompletná úprava: malý pes do 10 kg (od 60 €)
Salón pre psov Terra,full_groom,MEDIUM,60.00,60.00,EUR,https://www.salonterra.sk/#price,2026-09-20,Kompletná úprava: stredný pes do 20 kg (od 60 €)
Salón pre psov Terra,full_groom,LARGE,70.00,70.00,EUR,https://www.salonterra.sk/#price,2026-09-20,Kompletná úprava: veľký pes od 20 kg (od 70 €)
Salón pre psov Terra,bath_dry,SMALL,30.00,30.00,EUR,https://www.salonterra.sk/#price,2026-09-20,Kúpanie + česanie: malý pes (od 30 €)
Salón pre psov Terra,bath_dry,MEDIUM,40.00,40.00,EUR,https://www.salonterra.sk/#price,2026-09-20,Kúpanie + česanie: stredný pes (od 40 €)
Salón pre psov Terra,bath_dry,LARGE,50.00,60.00,EUR,https://www.salonterra.sk/#price,2026-09-20,Kúpanie + česanie: veľký pes (od 50 € - 60 €)
Salón pre psov Terra,bath_dry,XL,80.00,80.00,EUR,https://www.salonterra.sk/#price,2026-09-20,Kúpanie + česanie: XXL pes (od 80 €)
Salón pre psov Labku na to,full_groom,MINI,25.00,25.00,EUR,https://labkunato.sk/#cennik,2026-09-20,"Kúpanie, fénovanie, strihanie, uši, pazúriky, žľazy: Čivava (25 €)"
Salón pre psov Labku na to,full_groom,SMALL,29.00,29.00,EUR,https://labkunato.sk/#cennik,2026-09-20,"Kúpanie, fénovanie, strihanie, uši, pazúriky, žľazy: Malý pes do 8 kg (29 €)"
Salón pre psov Labku na to,full_groom,MEDIUM,34.00,34.00,EUR,https://labkunato.sk/#cennik,2026-09-20,"Kúpanie, fénovanie, strihanie, uši, pazúriky, žľazy: Stredný pes do 18 kg (34 €)"
Salón pre psov Labku na to,bath_dry,SMALL,25.00,25.00,EUR,https://labkunato.sk/#cennik,2026-09-20,"Kúpanie, fénovanie, vyčesávanie: Malý pes (25 €)"
Salón pre psov Labku na to,bath_dry,MEDIUM,35.00,35.00,EUR,https://labkunato.sk/#cennik,2026-09-20,"Kúpanie, fénovanie, vyčesávanie: Stredný pes (35 €)"
Salón pre psov Labku na to,bath_dry,LARGE,46.00,46.00,EUR,https://labkunato.sk/#cennik,2026-09-20,"Kúpanie, fénovanie, vyčesávanie: Veľký pes do 30 kg (46 €)"
Dog's Beauty & Wellness,full_groom,MINI,53.00,53.00,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,"Strihanie psov: XS pes (vyčesávanie, kúpanie, pazúry, strih)"
Dog's Beauty & Wellness,full_groom,SMALL,68.00,68.00,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,Strihanie psov: S pes
Dog's Beauty & Wellness,full_groom,MEDIUM,78.00,78.00,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,Strihanie psov: M pes
Dog's Beauty & Wellness,full_groom,LARGE,92.00,92.00,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,Strihanie psov: L pes
Dog's Beauty & Wellness,full_groom,XL,110.00,110.00,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,Strihanie psov: XL pes
Dog's Beauty & Wellness,hand_stripping,,40.00,40.00,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,Trimovanie: za každú 1 hodinu 40 €
Dog's Beauty & Wellness,bath_dry,MINI,32.00,32.00,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,Kúpanie a wellness (krátkosrsté psy): XS pes
Dog's Beauty & Wellness,bath_dry,SMALL,44.00,44.00,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,Kúpanie a wellness (krátkosrsté psy): S pes
Dog's Beauty & Wellness,bath_dry,MEDIUM,48.00,48.00,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,Kúpanie a wellness (krátkosrsté psy): M pes
Dog's Beauty & Wellness,bath_dry,LARGE,56.00,56.00,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,Kúpanie a wellness (krátkosrsté psy): L pes
Dog's Beauty & Wellness,bath_dry,XL,72.00,72.00,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,Kúpanie a wellness (krátkosrsté psy): XL pes
