name,category,address,district,phone,email,website,animals,source_url,observed_at,notes,lat,lng,description,photo_urls,google_place_id,google_maps_url,google_rating,google_rating_count,rating_observed_at,short_description,short_description_sk,logo_file
SAR DA – Výcvikové kynologické centrum (Poslušný pes),training,"Bojnická 10, 831 04 Bratislava",nove-mesto,+421 910 810 324,vycvik@sarda.sk,https://poslusnypes.sk,dog,https://poslusnypes.sk,2026-09-20,"Kynologické centrum v Novom Meste (kurzy poslušnosti, záchranársky výcvik SAR DA)",48.179491,17.166457,"Dog training center in Nové Mesto providing obedience courses, puppy kindergarten, rescue work training, and behavioral consultations.",https://www.poslusnypes.sk/wp-content/uploads/2024/03/24-home-slider-scaled.jpg;https://www.poslusnypes.sk/wp-content/uploads/2024/03/24-home-slider2-scaled.jpg;https://www.poslusnypes.sk/wp-content/uploads/2024/03/24-home-slider4-scaled.jpg,ChIJZVp7RdyObEcRbk2UDrDeXXA,https://maps.google.com/?cid=8096872552822230382,4.8,36,2026-09-25,Canine training center run by search and rescue handlers offering obedience and puppy classes.,Kynologické centrum vedené záchranármi ponúkajúce výcvik poslušnosti a kurzy pre šteniatka.,sar-da-vycvikove-kynologicke-centrum-poslusny-pes.png
Zuzalo – Chovateľské potreby,shop,"Dunajská 64, 811 08 Bratislava",stare-mesto,+421 940 731 217,info@zuzalo.sk,https://www.zuzalo.sk,dog;cat,https://www.zuzalo.sk,2026-09-20,Kamenná predajňa s krmivom a chovateľskými potrebami pre psov a mačky v Starom Meste; no Google rating: store closed (<5 reviews),48.14625,17.120941,"Boutique pet store on Dunajská street in Staré Mesto operating since 2020. Specializes in wholesome, natural foods, treats without additives, and stylish accessories for dogs and cats.",,,,,,2026-09-25,"Boutique pet store offering premium wholesome feeds, natural treats and stylish accessories.","Predajňa chovateľských potrieb s ponukou prémiových krmív, prírodných maškŕt a doplnkov.",zuzalo-chovatelske-potreby.png
Sponzia – Chovateľské potreby,shop,"Mierová 68, 821 05 Bratislava",ruzinov,+421 2 4363 0703,shop@sponzia.sk,https://www.sponzia.sk,dog;cat,https://www.sponzia.sk,2026-09-20,Kamenná predajňa chovateľských potrieb a krmív v Ružinove; no Google rating: <5 reviews,48.14916,17.17452,"Pet supply store and training center in Ružinov offering animal feed, pet gear, supplements, and canine training equipment.",https://www.sponzia.sk/css/vycvik.jpg;https://www.sponzia.sk/css/potreby.jpg,,,,,2026-09-25,"Family-run pet shop offering specialty feeds, pet gear and cynological training advice.","Rodinné chovateľské potreby s ponukou krmív, výbavy a kynologického poradenstva.",
Goio Pet Shop,shop,"Bosákova 9, 851 04 Bratislava",petrzalka,+421 904 810 137,,https://goiopet.sk,dog;cat,https://goiopet.sk,2026-09-20,"Kamenná predajňa chovateľských potrieb, krmív a príslušenstva v Petržalke",48.128204,17.122424,"Pet supply shop in Petržalka offering a broad selection of feed, treats, toys, and care accessories for dogs, cats, small animals, and birds.",,ChIJGyDlLRCJbEcROzHGHfhPf20,https://maps.google.com/?cid=7890112999246410043,4.7,215,2026-09-25,"Pet supplies store offering premium dry food, wet food, treats, toys and care accessories.","Predajňa chovateľských potrieb s ponukou krmív, maškŕt, hračiek a výbavy pre zvieratá.",goio-pet-shop.webp
Chovateľské potreby Fanzy,shop,"Drieňová 81/40, 821 02 Bratislava",ruzinov,+421 944 413 208,chovprodukt.fanzy@gmail.com,,dog;cat,https://oma.sk/chovatelske-potreby-fanzy-od-buducnost,2026-09-20,Predajňa chovateľských potrieb a krmív v OD Budúcnosť v Ružinove; no Google rating: <5 reviews,48.15983,17.144371,Brick-and-mortar pet supply and animal feed store located inside the OD Budúcnosť shopping center in Ružinov.,,,,,,2026-09-25,"Neighborhood pet shop in OD Budúcnosť offering basic pet food, treats and supplies.",Miestna predajňa chovateľských potrieb v OD Budúcnosť s ponukou krmív a príslušenstva.,
Super zoo – Bajkalská,shop,"Bajkalská 29/F, 821 05 Bratislava",ruzinov,+421 918 605 900,bajkalskaba@superzoo.sk,https://www.superzoo.sk,dog;cat,https://www.superzoo.sk,2026-09-20,Veľkoplošná predajňa chovateľských potrieb a krmív (bývalý ZooDom) v Ružinove,48.150769,17.149433,"Large retail pet store on Bajkalská street in Ružinov offering food, treats, toys, terrariums, cages, and accessories for all types of pets.",,ChIJW6pnYdKIbEcRYUi1t16enGs,https://maps.google.com/?cid=7754246788071376993,4.5,1500,2026-09-25,"Large flagship pet store offering feeds, terrariums, live animals, grooming and accessories.","Veľkoplošná predajňa chovateľských potrieb s ponukou krmív, terárií, zvierat a psieho salónu.",super-zoo-bajkalska.svg
Super zoo – Aupark,shop,"Einsteinova 18, 851 01 Bratislava",petrzalka,+421 914 347 120,aupark@superzoo.sk,https://www.superzoo.sk,dog;cat,https://www.superzoo.sk,2026-09-20,Predajňa chovateľských potrieb v OC Aupark Petržalka; no Google rating: mall branch without separate card (<5 reviews),48.132697,17.108577,"Pet supply store located in the Aupark shopping center in Petržalka, providing quality pet food, care products, and accessories for domestic animals.",,,,,,2026-09-25,"Shopping center pet shop providing pet foods, care products, accessories and grooming services.","Predajňa v nákupnom centre s ponukou krmív, chovateľských potrieb a psím salónom.",super-zoo-aupark.svg
PetCenter – Stanica Nivy,shop,"Mlynské nivy 5/A, 821 09 Bratislava",ruzinov,+421 909 255 234,bratislavanivy@petcenter.sk,https://www.petcenter.sk,dog;cat,https://www.petcenter.sk,2026-09-20,Predajňa chovateľských potrieb v nákupnom centre Nivy; no Google rating: mall branch without separate card (<5 reviews),48.146843,17.128698,"Pet store in the Stanica Nivy shopping mall in Ružinov, featuring a wide selection of animal feeds, treats, toys, and pet care essentials.",,,,,,2026-09-25,"Modern mall pet shop with wide range of animal feeds, treats, toys and essential care gear.","Predajňa v nákupnom centre Nivy so širokým sortimentom krmív, maškŕt a potrieb pre zvieratá.",petcenter-stanica-nivy.svg
PetCenter – OC Galéria Petržalka,shop,"Panónska cesta 25, 851 04 Bratislava",petrzalka,+421 909 255 202,,https://www.petcenter.sk,dog;cat,https://www.petcenter.sk,2026-09-20,Predajňa chovateľských potrieb v OC Galéria Petržalka; no Google rating: mall branch without separate card (<5 reviews),48.108352,17.097127,"Pet shop located in the OC Galéria shopping center in Petržalka, offering pet food, supplements, toys, and supplies for dogs, cats, and small animals.",,,,,,2026-09-25,"Retail pet shop in Galéria shopping park providing pet food, supplements, treats and toys.","Predajňa chovateľských potrieb v OC Galéria s ponukou krmív, doplnkov výživy a hračiek.",petcenter-oc-galeria-petrzalka.svg
Vet Lekáreň (MVDr. Pavol Šimun),shop,"Kalinčiakova 1, 831 04 Bratislava",nove-mesto,+421 908 382 206,info@vetlekaren.sk,https://www.vetlekaren.sk,dog;cat,https://www.vetlekaren.sk,2026-09-20,Špecializovaná veterinárna lekáreň a predajňa veterinárnych liečiv a doplnkov v Novom Meste,48.159538,17.130877,"Specialized veterinary pharmacy in Nové Mesto operated by MVDr. Pavol Šimun. Stocks prescription veterinary pharmaceuticals, specialized diets, vitamins, and healthcare supplements.",,ChIJpRCg1iyPbEcRA2dZV6k0d6Q,https://maps.google.com/?cid=11850998846368343811,4.6,135,2026-09-25,"Veterinary pharmacy providing specialized medicines, clinical diets and pet health supplements.","Veterinárna lekáreň s predajom veterinárnych liečiv, klinických diét a doplnkov výživy.",
Lekáreň HUMAVET,shop,"Sibírska 1597/11, 831 02 Bratislava",nove-mesto,+421 2 4425 1143,lekaren.humavet@gmail.com,,dog;cat,https://www.e-vuc.sk,2026-09-20,Verejná lekáreň so špecializáciou na humánne a veterinárne liečivá v Novom Meste,48.161205,17.119572,"Community pharmacy in Nové Mesto specializing in human and veterinary medicines, antiparasitics, and animal healthcare products.",,ChIJ5ThtlrKObEcRslHD3ppAmQU,https://maps.google.com/?cid=403424675532853682,4.7,28,2026-09-25,Community pharmacy specializing in combined human and veterinary pharmaceuticals.,Lekáreň so špecializáciou na humánne aj veterinárne liečivá a antiparazitiká.,
