name,logo_file,logo_source,logo_source_url
VET-SVET veterinárna ambulancia,vet-svet-veterinarna-ambulancia.svg,site-header,https://www.vetsvet.sk/wp-content/themes/vetsvet/img/logo.svg
Small Vet Plus,small-vet-plus.png,site-header,https://smallvetplus.sk/wp-content/uploads/2022/10/smallvetplus-logo-white.png
Super zoo veterina,super-zoo-veterina.png,site-header,https://superzooveterina.sk/wp-content/uploads/2024/06/SZ_veterina_rgb_priehl_podklad-1.png
ANIMAVET veterinárna ambulancia,animavet-veterinarna-ambulancia.png,site-header,https://lh7-us.googleusercontent.com/sitesv-images-rt/AO_XUck7u7gZqB5QZf6v3kOQd68l42ZfT_c11d0Z_m_2xS5y_9iG5Z5L_A9YxVnJv9gqB7jS5s9P4M8x7kXQ_g
Veterinárna klinika LapVet,veterinarna-klinika-lapvet.webp,site-header,https://lapvet.sk/wp-content/uploads/2024/04/lapvet_logo.webp
PetVet veterinárna klinika,petvet-veterinarna-klinika.png,site-header,https://petvet.sk/wp-content/uploads/2022/10/petvet-logo-300.png
Veterinárna ambulancia SpektraVet,veterinarna-ambulancia-spektravet.png,site-header,https://www.spektravet.sk/assets/images/logo.png
VetPetržalka veterinárna ambulancia,vetpetrzalka-veterinarna-ambulancia.png,site-header,https://www.vetpetrzalka.sk/images/web_image_03.webp
EuroVet veterinárna ambulancia,,none,https://www.eurovet.sk/
Veterinárna klinika Planet,veterinarna-klinika-planet.svg,site-header,https://planet.vet/assets/images/logo.svg
DermaVet veterinárna ambulancia,dermavet-veterinarna-ambulancia.png,site-header,https://www.dermavet.sk/wp-content/uploads/2023/10/cropped-dermavet-priehladne-bez-pozadia.png
Veterinárna ambulancia Kocúr,,none,https://veterinarkocur.sk/
Tvoja Veterina,tvoja-veterina.svg,site-header,https://tvojaveterina.sk/wp-content/themes/tvoja-veterina/assets/img/logo.svg
Veterinárna ambulancia AHAvet,veterinarna-ambulancia-ahavet.png,site-header,https://ahavet.sk/wp-content/uploads/2020/09/ahavet_logo.png
Veterinárna ambulancia Labka,veterinarna-ambulancia-labka.png,site-header,https://ambulancialabka.sk/wp-content/uploads/2021/04/cropped-logo-labka-1.png
Veterinárna ambulancia Polianky,veterinarna-ambulancia-polianky.png,site-header,https://polianky.sk/wp-content/uploads/2023/03/cropped-logo-polianky-horizontal.png
Veterinárna klinika Vrakuňa,veterinarna-klinika-vrakuna.png,site-header,https://veterinarvrakuna.sk/wp-content/uploads/2021/05/logo_vrakuna.png
Veterinárna ambulancia BHVet,veterinarna-ambulancia-bhvet.svg,site-header,https://bhvet.sk/wp-content/themes/bhvet/assets/img/logo.svg
Veterinárna poliklinika Jarovce - MVDr. Milan Švihran,,none,https://veterinar-svihran.sk/;https://www.facebook.com/
Petrooms - Hotel pre mačky,petrooms-hotel-pre-macky.png,site-header,https://petrooms.sk/wp-content/uploads/2026/03/ChatGPT-Image-10-%D0%B8%D1%8E%D0%BD.-2026-%D0%B3.-18_55_06-300x300.png
Salón a hotel pre psov Havko,salon-a-hotel-pre-psov-havko.webp,site-header,https://www.havko.sk/wp-content/uploads/2024/05/logo_havko.webp
DEWEN Dog Hotel,,none,http://www.dewen.sk/
Ako doma - Hotel pre psov,ako-doma-hotel-pre-psov.png,site-header,https://hotelprepsovakodoma.sk/wp-content/uploads/2022/03/logo-akodoma.png
Opatrovanie mačiek Bratislava (Adriana Tanková),opatrovanie-maciek-bratislava-adriana-tankova.png,site-header,https://strazaniemaciek.sk/wp-content/uploads/2021/06/strazanie-maciek-logo.png
Doggie – Výcviková škola,doggie-vycvikova-skola.png,site-header,https://doggie.sk/wp-content/uploads/2021/02/doggie-logo.png
ERPOL – Výcvik psov Bratislava,,none,http://www.psivycvik.sk/;https://www.facebook.com/people/Eva-Polansk%C3%A1-ERPOL-v%C3%BDcvik-a-v%C3%BDchova-psov-poradenstvo/100063777595568/
Športový klub policajnej kynológie (ŠKPK),sportovy-klub-policajnej-kynologie-skpk.png,site-header,http://www.skpk.sk/images/logo.png
Klub športovej kynológie 1 (KŠK 1),klub-sportovej-kynologie-1-ksk-1.png,site-header,https://www.ksk1.sk/wp-content/uploads/2021/03/ksk1-logo.png
Kynologický klub Lamač,kynologicky-klub-lamac.png,site-header,https://kklamac.sk/wp-content/uploads/2022/02/logo-kklamac.png
Sponzia – Chovateľské potreby,,none,https://www.sponzia.sk/
Goio Pet Shop,goio-pet-shop.svg,site-header,https://www.goiopet.sk/assets/images/logo.svg
Chovateľské potreby Fanzy,,none,https://www.google.com/maps/search/Chovate%C4%BEsk%C3%A9+potreby+Fanzy+Bratislava
Vet Lekáreň (MVDr. Pavol Šimun),vet-lekaren-mvdr-pavol-simun.png,site-header,https://vetlekaren.sk/wp-content/uploads/2021/05/vetlekaren-logo.png
Lekáreň HUMAVET,,none,https://www.google.com/maps/search/Lek%C3%A1re%C5%88+HUMAVET+Bratislava
