name,address,district,phone,email,website,source_url,observed_at,notes,lat,lng,description,photo_urls,google_place_id,google_maps_url,google_rating,google_rating_count,rating_observed_at,short_description,short_description_sk,logo_file
Veterinárna klinika Slnečnice,"Zuzany Chalupovej 7A, 851 07 Bratislava",petrzalka,+421 917 155 155,klinika@veterinaslnecnice.sk,https://veterinaslnecnice.sk,https://veterinaslnecnice.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions,48.092062,17.117518,"Veterinary clinic in the Slnečnice development in Petržalka, opened in December 2022. Provides general practice, urgent care, laboratory diagnostics, and dental care.",https://veterinaslnecnice.sk/veterinaslnecnice/images/home.webp;https://veterinaslnecnice.sk/veterinaslnecnice/images/card-04.jpg;https://veterinaslnecnice.sk/veterinaslnecnice/images/card-03.jpg;https://veterinaslnecnice.sk/veterinaslnecnice/images/card-01.jpg,ChIJVdH9fiKJbEcR10z_cIeqxW8,https://maps.google.com/?cid=8054031007315086551,4.8,28,2026-09-25,"Modern practice providing preventative care, urgent treatments, diagnostics, and dental hygiene.","Moderná prax poskytujúca prevenciu, urgentnú pomoc, laboratórne vyšetrenia a dentálnu hygienu.",
Animal clinic - MVDr. Andrea Gloneková,"Nerudova 11, 821 04 Bratislava",ruzinov,+421 911 521 781,glonekova@animalclinic.sk,https://www.animalclinic.sk,https://www.animalclinic.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions,48.16769,17.164279,"Veterinary practice in Trnávka (Ružinov) led by MVDr. Andrea Gloneková. Specializes in internal medicine, preventative care, endocrinology, and treatment of dogs, cats, and small rodents.",,ChIJ64R8FPyPbEcRO5Co5yJxLhI,https://maps.google.com/?cid=1310108936340803643,5.0,65,2026-09-25,"Veterinary practice specializing in internal medicine, endocrinology, and small rodent care.","Veterinárna prax so zameraním na internú medicínu, endokrinológiu a starostlivosť o drobné cicavce.",
VET-SVET veterinárna ambulancia,"Trhová 38, 841 01 Bratislava",dubravka,+421 2 6428 2418,info.vetsvet@gmail.com,https://vetsvet.sk,https://vetsvet.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions,48.187479,17.039091,"Veterinary clinic in Dúbravka providing individual healthcare for dogs, cats, and small animals. Services include preventative medicine, laser therapy, soft-tissue surgery, and diagnostics.",https://vetsvet.sk/wp-content/uploads/2024/01/laserova-terapia-1.webp,ChIJmyTUd5eMbEcRU96iKxGGHrY,https://maps.google.com/?cid=13123073772508864083,4.8,99,2026-09-25,"Personalized veterinary care for pets featuring preventative medicine, laser therapy, and surgery.","Individuálna starostlivosť o zvieratá s preventívnou medicínou, laserovou terapiou a chirurgiou.",
Small Vet Plus,"Žitná 46, 831 06 Bratislava",raca,+421 949 247 294,info@smallvet.sk,https://www.smallvet.sk,https://www.smallvet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.207468,17.154288,"Veterinary hospital on Žitná street in Rača providing round-the-clock emergency care. Facilities include digital X-ray, ultrasound, surgical suites, and an inpatient hospitalization ward.",https://www.smallvet.sk/static/images/main.69f92426f100.png,ChIJu9rnMm-ObEcRQdbMefEJP6A,https://maps.google.com/?cid=11546958902336476737,4.2,132,2026-09-25,"Veterinary hospital with 24/7 emergency service, digital radiography, and patient hospitalization.","Veterinárna nemocnica s nepretržitou pohotovosťou, digitálnym RTG a hospitalizačným oddelením.",
Super zoo veterina,"Einsteinova 18, 851 01 Bratislava",petrzalka,+421 910 430 466,avion@superzooveterina.sk,https://www.superzooveterina.sk,https://www.superzooveterina.sk,2026-09-20,docs/concept.md absent; district omitted per instructions; no Google rating: in-store clinic booth without separate card (<5 reviews),48.132697,17.108577,"Veterinary clinic in Petržalka focusing on stress-free consultations, preventative medicine, diagnostics, and routine surgical procedures for domestic pets.",,,,,,2026-09-25,"Low-stress veterinary consultations, preventative checkups, diagnostics, and routine procedures.","Bezstresové veterinárne vyšetrenia, preventívna starostlivosť, diagnostika a rutinné zákroky.",
ANIMAVET veterinárna ambulancia,"Medveďovej 19, 851 04 Bratislava",petrzalka,+421 917 859 982,info@animavet.sk,https://www.animavet.sk,https://www.animavet.sk/kontakt/,2026-09-20,docs/concept.md absent; district omitted per instructions,48.121044,17.133659,"Veterinary practice in Petržalka on Šintavská street providing general healthcare, vaccinations, preventative checkups, and diagnostic consultations by phone appointment.",,ChIJmXvqFgGJbEcRekKcC_UVtrM,https://maps.google.com/?cid=12949561920756400762,4.9,18,2026-09-25,"Veterinary healthcare, vaccinations, preventative checkups, and exotic animal treatments.","Veterinárna starostlivosť, vakcinácie, preventívne prehliadky a ošetrenie exotických zvierat.",
Veterinárna klinika LapVet,"Osuského 46, 851 03 Bratislava",petrzalka,+421 944 432 444,vet.ambulancia@gmail.com,https://www.lapvet.sk,https://www.lapvet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.119095,17.11774,"Veterinary clinic in Petržalka with two branches on Osuského and Beňadická streets. Specializes in advanced laparoscopic surgery, cardiology, dentistry, and gentle surgical techniques.",https://www.lapvet.sk/img/laparoskopia-vykon.webp;https://www.lapvet.sk/img/kardio-vysetrenie.webp;https://www.lapvet.sk/img/tim-lapvet.webp,ChIJFdrzeqeJbEcRaVcgEK2oeag,https://maps.google.com/?cid=12139919731807246185,4.5,180,2026-09-25,"Veterinary practice specializing in gentle laparoscopic surgery, cardiology, and dental treatments.","Veterinárna prax so špecializáciou na šetrnú laparoskopickú chirurgiu, kardiológiu a stomatológiu.",
PetVet veterinárna klinika,"Starohájska 35, 851 02 Bratislava",petrzalka,+421 2 624 124 96,pet.vet@petvet.sk,http://www.petvet.sk,http://www.petvet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.111628,17.125834,"Established veterinary clinic in Petržalka with 25 years of practice, emphasizing evidence-based medicine. Offers comprehensive diagnostics, orthopedic surgery, oncology, and stem cell therapies.",http://www.petvet.sk/img/clinic-real-2026.webp,ChIJ38H5FKyJbEcRgrpOcVUrFx8,https://maps.google.com/?cid=2240306985613310594,4.6,147,2026-09-25,"Evidence-based veterinary care offering advanced diagnostics, orthopedic surgery, and stem cells.",Veterinárna starostlivosť založená na dôkazoch s pokročilou diagnostikou a kmeňovými bunkami.,
Veterinárna ambulancia SpektraVet,"Ružinovská 1/4814, 821 02 Bratislava",ruzinov,+421 903 494 000,info@spektravet.sk,https://www.spektravet.sk,https://www.spektravet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.158972,17.175269,"Veterinary clinic on Ružinovská street in Ružinov providing preventative medicine, general surgery, dental care, and laboratory diagnostics, co-located with a pet grooming salon.",https://www.spektravet.sk/assets/images/spektravet-01.jpg;https://www.spektravet.sk/assets/images/spektravet-03.jpg;https://www.spektravet.sk/assets/images/spektravet-05.jpg;https://www.spektravet.sk/uploads/recepcia-a.jpg,ChIJY0oK1TGPbEcRt5nxuRt1Tk4,https://maps.google.com/?cid=5642576145085995447,4.7,104,2026-09-25,"Comprehensive healthcare offering soft-tissue surgery, dental cleanings, and co-located grooming.","Komplexná veterinárna starostlivosť s chirurgiou mäkkých tkanív, stomatológiou a salónom pre psov.",
Veterinárna ambulancia VetFriends,"Račianska 26/E, 831 02 Bratislava",nove-mesto,+421 949 429 084,info@vetfriends.sk,https://vetfriends.sk,https://vetfriends.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.162448,17.125549,"Modern veterinary clinic located in the Urban Residence complex in Nové Mesto. Provides preventative healthcare, internal medicine, soft-tissue surgery, and diagnostics in a calm environment.",https://vetfriends.sk/wp-content/uploads/2023/05/psik-veterinar-white3.jpg;https://vetfriends.sk/wp-content/uploads/2023/04/Preventivna-medicina.jpg;https://vetfriends.sk/wp-content/uploads/2023/04/interna-medicina2.jpg,ChIJb0pfvtCPbEcRHgakuB0_SyA,https://maps.google.com/?cid=2327023029351351838,4.9,12,2026-09-25,"Calm veterinary practice specializing in behavioral medicine, preventative care, and soft surgery.","Pokojné pracovisko so zameraním na behaviorálnu medicínu, preventívnu starostlivosť a chirurgiu.",veterinarna-ambulancia-vetfriends.svg
ZEBRA veterinárna ambulancia,"Kresánkova 3, 841 05 Bratislava",karlova-ves,+421 944 725 939,veterina@zebravet.sk,https://www.zebravet.sk,https://www.zebravet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.150788,17.049861,"First-contact veterinary clinic in Karlova Ves treating dogs, cats, reptiles, birds, and small mammals. Features air-conditioned consulting rooms, diagnostic equipment, and an on-site dog grooming station.",,ChIJKcwFfJiLbEcR9Uz12ZAhRhY,https://maps.google.com/?cid=1605007223219899637,4.8,111,2026-09-25,"First-contact clinic treating companion animals, reptiles, and birds, with an on-site dog wash.","Prvokontaktná starostlivosť o psy, mačky, plazy aj vtáctvo s vlastným samoobslužným psím kúpeľom.",zebra-veterinarna-ambulancia.webp
VetPetržalka veterinárna ambulancia,"Gessayova 35, 851 03 Bratislava",petrzalka,+421 908 129 010,hanka.zelenkova@gmail.com,https://www.vetpetrzalka.sk,https://www.vetpetrzalka.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.120112,17.112149,"Veterinary practice on Gercenova street in Petržalka offering internal medicine, laboratory diagnostics, digital X-ray, ultrasound, dentistry, surgery, and preventative healthcare programs.",https://www.vetpetrzalka.sk/images/web_image_03.webp;https://www.vetpetrzalka.sk/images/web_image_04.jpg;https://www.vetpetrzalka.sk/images/web_image_05.jpg;https://www.vetpetrzalka.sk/images/web_image_06.jpg,ChIJmQMNzHCJbEcRl6xf1ySjfrM,https://maps.google.com/?cid=12933954558482164887,4.9,175,2026-09-25,"Veterinary practice providing internal medicine, digital X-ray, ultrasound, and general surgeries.","Veterinárna ambulancia s internou medicínou, digitálnym RTG, ultrazvukom a chirurgickými zákrokmi.",
EuroVet veterinárna ambulancia,"Strečnianska 4, 851 05 Bratislava",petrzalka,+421 910 978 234,info@eurovet.sk,http://www.eurovet.sk,http://www.eurovet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions; no Google rating: closed or <5 reviews,48.105421,17.104291,"Veterinary surgery in Petržalka providing medical care for small animals, including diagnostics, routine surgery, hirudotherapy, home visit services, and short-term boarding.",http://www.eurovet.sk/images/img1E.jpg;http://www.eurovet.sk/images/m.jpg;http://www.eurovet.sk/images/mp.jpg,,,,,2026-09-25,"Outpatient veterinary surgery providing diagnostics, hirudotherapy, boarding, and home visits.","Ambulantná veterinárna prax ponúkajúca diagnostiku, hirudoterapiu, hotel a výjazdovú službu.",
Veterinárna klinika Planet,"Popradská 32, 821 06 Bratislava",podunajske-biskupice,+421 948 910 737,info@klinikaplanet.sk,https://www.klinikaplanet.sk,https://www.klinikaplanet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.135679,17.194197,"Veterinary clinic located on Popradská street in Podunajské Biskupice, serving pets with medical and surgical care since 2003.",,ChIJ5zDhrKWIbEcRjxnAtskinuw,https://maps.google.com/?cid=17050103489021090191,4.6,265,2026-09-25,"Veterinary clinic providing diagnostic imaging, soft-tissue surgery, and healthcare since 2003.","Veterinárna klinika poskytujúca zobrazovaciu diagnostiku, chirurgiu a zdravotnú starostlivosť.",
DermaVet veterinárna ambulancia,"Račianska 75, 831 02 Bratislava",nove-mesto,+421 903 511 156,info@dermavet.sk,https://dermavet.sk,https://dermavet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions; no Google rating: specialized clinic with <5 reviews,48.171126,17.126552,"Specialized veterinary clinic in Nové Mesto led by MVDr. Daniela Micháľová, focusing on veterinary dermatology and allergic skin disorders in companion animals.",,,,,,2026-09-25,Specialized veterinary clinic focused on dermatology and allergic skin disorders in companions.,Špecializovaná ambulancia zameraná na veterinárnu dermatológiu a alergické ochorenia kože zvierat.,
Veterinárna ambulancia Kocúr,"Herlianska 45, 821 03 Bratislava",ruzinov,+421 903 655 897,,http://www.veterinarkocur.sk,http://www.veterinarkocur.sk,2026-09-20,docs/concept.md absent; district omitted per instructions; email not publicly listed on website,48.159812,17.155661,"Veterinary practice in the Štrkovec neighborhood of Ružinov on Herlianska street, offering clinical checkups, treatments, and vaccinations for small companion animals.",http://www.veterinarkocur.sk/ambulancia1.JPG;http://www.veterinarkocur.sk/ambulancia4.JPG;http://www.veterinarkocur.sk/ambulancia5.JPG,ChIJ2e8coNaObEcRUB1QbpuIaq0,https://maps.google.com/?cid=12495950317244915024,4.8,292,2026-09-25,"Neighborhood veterinary practice offering health checkups, treatments, and routine vaccinations.","Veterinárna prax poskytujúca bežné vyšetrenia, liečebnú starostlivosť a pravidelné očkovania.",
Tvoja Veterina,"Kempelenova 2, 841 04 Bratislava",karlova-ves,+421 915 390 806,info@tvojaveterina.sk,https://tvojaveterina.sk,https://tvojaveterina.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.156902,17.055377,"Family veterinary clinic in Karlova Ves offering comprehensive healthcare, vaccinations, surgery, and preventative treatments for dogs and cats.",https://www.tvojaveterina.sk/uploads/gallery/1/thumbs/center_1_phpSRP4rA;https://www.tvojaveterina.sk/uploads/gallery/1/thumbs/center_2_phpmNN3SG;https://www.tvojaveterina.sk/uploads/gallery/1/thumbs/right_1_phpR45dSu,ChIJBcQMYJqLbEcRxtOTCdOejVQ,https://maps.google.com/?cid=6092700500138120134,4.8,272,2026-09-25,"Family veterinary clinic offering comprehensive healthcare, routine surgery, and vaccinations.","Rodinná veterinárna klinika poskytujúca komplexnú starostlivosť, chirurgiu a preventívne očkovanie.",
Veterinárna ambulancia AHAvet,"Ľudovíta Fullu 7, 841 05 Bratislava",karlova-ves,+421 2 654 128 98,ahavet.ambulancia@gmail.com,https://www.ahavet.sk,https://www.ahavet.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.153556,17.050283,"Veterinary clinic in Karlova Ves providing compassionate medical care, diagnostics, soft-tissue surgery, and preventative medicine for domestic pets.",https://ahavet.sk/wp-content/uploads/2024/02/domov_hero_klinika.webp,ChIJQaxPBZeLbEcR643Its8zxsA,https://maps.google.com/?cid=13890847067888717291,4.4,288,2026-09-25,"General pet healthcare, diagnostic imaging, soft-tissue surgery, and preventative medicine.","Všeobecná starostlivosť o zvieratá, diagnostika, chirurgia mäkkých tkanív a preventívna medicína.",
Veterinárna ambulancia Labka,"Ambroseho 11, 851 02 Bratislava",petrzalka,+421 944 638 753,ordinacia@veterina-labka.sk,http://www.veterina-labka.sk,http://www.veterina-labka.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.116496,17.115338,"Veterinary surgery in Petržalka on Osuského street providing basic medical care, consultations, vaccinations, and treatment for companion pets.",,ChIJB95j-qaJbEcRW5AoTz0dTzk,https://maps.google.com/?cid=4129551532480303195,4.9,87,2026-09-25,"Friendly veterinary surgery providing outpatient consultations, vaccinations, and basic medicine.","Veterinárna ambulancia ponúkajúca bežné vyšetrenia, očkovanie a základnú liečebnú starostlivosť.",
Veterinárna ambulancia Polianky,"Polianky 8, 841 01 Bratislava",dubravka,+421 905 320 014,katarinapekarova7@gmail.com,http://www.bratislava-veterinar.sk,http://www.bratislava-veterinar.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.175309,17.059842,"Veterinary practice on Polianky in Dúbravka operated by MVDr. Katarína Pekárová, offering general health examinations, diagnostics, vaccinations, and routine medical care.",http://www.bratislava-veterinar.sk/images/design/slide-1.jpg;https://www.bratislava-veterinar.sk/images/box-vet.jpg,ChIJ69W8DHyMbEcRmedNnpYAtDU,https://maps.google.com/?cid=3869718626719098777,4.9,122,2026-09-25,"Outpatient veterinary practice offering preventative examinations, diagnostics, and routine care.","Ambulantná prax ponúkajúca preventívne vyšetrenia, diagnostiku, liečbu a výjazdové ošetrenia.",
Veterinárna ambulancia MVDr. Pavol Čech,"Heyrovského 12, 841 03 Bratislava",lamac,+421 903 463 022,pavolcech@gmail.com,https://veterinalamac.sk,https://veterinalamac.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.196654,17.047135,"Veterinary practice in Lamač led by MVDr. Pavol Čech, providing medical examinations, preventative care, and clinical consultations for small domestic animals.",,ChIJexsyHuyMbEcREZp250XeAbI,https://maps.google.com/?cid=12826777605545302545,4.8,84,2026-09-25,"Holistic veterinary consultations combining conventional medicine, laser therapy, and acupuncture.","Komplexná veterinárna starostlivosť kombinujúca klasickú medicínu, laserovú terapiu a akupunktúru.",veterinarna-ambulancia-mvdr-pavol-cech.png
Veterinárna klinika Vrakuňa,"Hradská 58, 821 07 Bratislava",vrakuna,+421 2 45 25 98 31,veterinar@veterinar-vrakuna.sk,http://www.veterinar-vrakuna.sk,http://www.veterinar-vrakuna.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.150844,17.201825,"Veterinary clinic in Vrakuňa on Hradská street offering outpatient consultations, routine surgery, vaccinations, microchipping, and preventative pet care.",,ChIJq4_otf-PbEcR3N98Ml-jpjs,https://maps.google.com/?cid=4298302523635982300,4.5,160,2026-09-25,"Outpatient clinic providing diagnostic consultations, routine soft-tissue surgery, and vaccines.","Ambulantná klinika ponúkajúca diagnostiku, bežné operácie mäkkých tkanív a preventívne očkovania.",
Veterinárna ambulancia BHVet,"Koľajná 27, 831 06 Bratislava",raca,+421 2 4488 6606,info@vetambraca.sk,http://www.vetambraca.sk,http://www.vetambraca.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.208507,17.159511,"Veterinary practice on Koľajná street in Rača providing general medical consultations, vaccinations, diagnostics, and preventative care for small animals.",,ChIJt9IfvWmObEcRQ8b5_a0nhrg,https://maps.google.com/?cid=13296358578101798467,4.7,263,2026-09-25,"Veterinary practice providing internal medicine, diagnostic ultrasound, surgery, and vaccinations.","Veterinárna prax poskytujúca internú medicínu, ultrazvukovú diagnostiku, chirurgiu a očkovania.",
Veterinárna poliklinika Jarovce - MVDr. Milan Švihran,"Semenárska 36, 851 10 Bratislava",jarovce,+421 2 6286 0040,klinikajarovce@gmail.com,https://veterinar-svihran.sk,https://veterinar-svihran.sk,2026-09-20,docs/concept.md absent; district omitted per instructions,48.066747,17.118774,"Veterinary polyclinic in Jarovce established by MVDr. Milan Švihran, offering medical examinations, preventative veterinary care, and treatments for domestic animals.",,ChIJ-Ri3GJBibEcREUkv7gZlYm8,https://maps.google.com/?cid=8026088566367930641,4.5,51,2026-09-25,"Polyclinic equipped with an in-house lab, radiography, ultrasound, and inhalation anesthesia.","Poliklinika s vlastným laboratóriom, digitálnym RTG, sonografom a inhalačnou anestéziou.",
