business_slug,price_code,weight_from_kg,weight_to_kg,price_from,price_to,currency,source_url,observed_at,notes,unit,partial,note,note_local
dog-culture,full_groom,,,54,94,EUR,https://dogculture.sk/#cennik,2026-09-20,"podľa veľkosti psa (SMALL/MEDIUM/LARGE/XL), bez hmotnosti v cenníku; Strihanie & kúpanie (veľkosť S); Strihanie & kúpanie (veľkosť M); Strihanie & kúpanie (veľkosť L); Strihanie & kúpanie (veľkosť XL)",,,,
dog-culture,hand_stripping,,,64,104,EUR,https://dogculture.sk/#cennik,2026-09-20,"podľa veľkosti psa (SMALL/MEDIUM/LARGE/XL), bez hmotnosti v cenníku; Trímovanie & kúpanie (veľkosť S); Trímovanie & kúpanie (veľkosť M); Trímovanie & kúpanie (veľkosť L); Trímovanie & kúpanie (veľkosť XL)",,,,
psi-salon-zuzana,full_groom,,8,43,,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kompletná úprava: malý pes do 8 kg (od 43 €),,,,
psi-salon-zuzana,full_groom,8,20,48,,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kompletná úprava: stredný pes do 20 kg (od 48 €),,,,
psi-salon-zuzana,full_groom,20,,65,,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kompletná úprava: veľký pes nad 20 kg (od 65 €),,,,
psi-salon-zuzana,bath_dry,,8,25,,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kúpanie a sušenie: malý pes do 8 kg (od 25 €),,,,
psi-salon-zuzana,bath_dry,8,20,35,,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kúpanie a sušenie: stredný pes do 20 kg (od 35 €),,,,
psi-salon-zuzana,bath_dry,20,,55,,EUR,https://salon-pre-psov.sk/cennik/,2026-09-20,Kúpanie a sušenie: veľký pes nad 20 kg (od 55 €),,,,
psi-salon-my-champ,full_groom,,5,45,45,EUR,https://mychamp.sk/#cennik,2026-09-20,"Luxusný kompletný balíček: MINI do 5 kg (kúpanie, balzam, fénovanie, strih, hygiena)",,,,
psi-salon-my-champ,full_groom,5,10,55,55,EUR,https://mychamp.sk/#cennik,2026-09-20,Luxusný kompletný balíček: MALÝ do 10 kg (kompletný strih & úprava),,,,
psi-salon-my-champ,full_groom,10,20,60,60,EUR,https://mychamp.sk/#cennik,2026-09-20,Luxusný kompletný balíček: STREDNÝ do 20 kg (hĺbkové vyčesávanie & strih),,,,
psi-salon-my-champ,full_groom,20,,75,75,EUR,https://mychamp.sk/#cennik,2026-09-20,Luxusný kompletný balíček: VEĽKÝ nad 20 kg (náročná profesionálna úprava),,,,
psi-salon-my-champ,bath_dry,,10,20,20,EUR,https://mychamp.sk/#cennik,2026-09-20,Kúpanie + fénovanie: malý pes do 10 kg,,,,
psi-salon-my-champ,bath_dry,10,20,25,25,EUR,https://mychamp.sk/#cennik,2026-09-20,Kúpanie + fénovanie: stredný pes do 20 kg,,,,
psi-salon-my-champ,bath_dry,20,30,35,35,EUR,https://mychamp.sk/#cennik,2026-09-20,Kúpanie + fénovanie: veľký pes do 30 kg,,,,
psi-salon-my-champ,bath_dry,30,,45,45,EUR,https://mychamp.sk/#cennik,2026-09-20,Kúpanie + fénovanie: obrí pes nad 30 kg,,,,
salon-pre-psov-terra,full_groom,,5,50,,EUR,https://www.salonterra.sk/#price,2026-09-20,Kompletná úprava: malý pes do 5 kg (od 50 €),,,,
salon-pre-psov-terra,full_groom,5,10,60,,EUR,https://www.salonterra.sk/#price,2026-09-20,Kompletná úprava: malý pes do 10 kg (od 60 €),,,,
salon-pre-psov-terra,full_groom,10,20,60,,EUR,https://www.salonterra.sk/#price,2026-09-20,Kompletná úprava: stredný pes do 20 kg (od 60 €),,,,
salon-pre-psov-terra,full_groom,20,,70,,EUR,https://www.salonterra.sk/#price,2026-09-20,Kompletná úprava: veľký pes od 20 kg (od 70 €),,,,
salon-pre-psov-terra,bath_dry,,,30,80,EUR,https://www.salonterra.sk/#price,2026-09-20,"podľa veľkosti psa (SMALL/MEDIUM/LARGE/XL), bez hmotnosti v cenníku; Kúpanie + česanie: malý pes (od 30 €); Kúpanie + česanie: stredný pes (od 40 €); Kúpanie + česanie: veľký pes (od 50 € - 60 €); Kúpanie + česanie: XXL pes (od 80 €)",,,,
salon-pre-psov-labku-na-to,full_groom,,,25,34,EUR,https://labkunato.sk/#cennik,2026-09-20,"podľa veľkosti psa (MINI/SMALL/MEDIUM), bez hmotnosti v cenníku; Kúpanie, fénovanie, strihanie, uši, pazúriky, žľazy: Čivava (25 €); Kúpanie, fénovanie, strihanie, uši, pazúriky, žľazy: Malý pes do 8 kg (29 €); Kúpanie, fénovanie, strihanie, uši, pazúriky, žľazy: Stredný pes do 18 kg (34 €)",,,,
salon-pre-psov-labku-na-to,bath_dry,,,25,46,EUR,https://labkunato.sk/#cennik,2026-09-20,"podľa veľkosti psa (SMALL/MEDIUM/LARGE), bez hmotnosti v cenníku; Kúpanie, fénovanie, vyčesávanie: Malý pes (25 €); Kúpanie, fénovanie, vyčesávanie: Stredný pes (35 €); Kúpanie, fénovanie, vyčesávanie: Veľký pes do 30 kg (46 €)",,,,
dog-s-beauty-wellness,full_groom,,,53,110,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,"podľa veľkosti psa (MINI/SMALL/MEDIUM/LARGE/XL), bez hmotnosti v cenníku; Strihanie psov: XS pes (vyčesávanie, kúpanie, pazúry, strih); Strihanie psov: S pes; Strihanie psov: M pes; Strihanie psov: L pes; Strihanie psov: XL pes",,,,
dog-s-beauty-wellness,hand_stripping,,,40,,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,Trimovanie: za každú 1 hodinu 40 €,per_hour,,,
dog-s-beauty-wellness,bath_dry,,,32,72,EUR,https://dogsbeauty.sk/psi-salon-cennik/,2026-09-20,"podľa veľkosti psa (MINI/SMALL/MEDIUM/LARGE/XL), bez hmotnosti v cenníku; Kúpanie a wellness (krátkosrsté psy): XS pes; Kúpanie a wellness (krátkosrsté psy): S pes; Kúpanie a wellness (krátkosrsté psy): M pes; Kúpanie a wellness (krátkosrsté psy): L pes; Kúpanie a wellness (krátkosrsté psy): XL pes",,,,
sibra-centrum-veterinarnej-mediciny,exam,,,21,21,EUR,https://www.sibra.sk/cennik/zakladne-ukony,2026-09-25,Konzultácia bez iného výkonu do 30 min. (21 € s DPH),,,,
sibra-centrum-veterinarnej-mediciny,vaccination_dog,,,70.6,,EUR,https://www.sibra.sk/cennik/vakcinacie,2026-09-25,"Kompletná vakcinácia – pes (+ proti besnote a zápisom do CRSZ, od 70,60 € s DPH)",,,,
sibra-centrum-veterinarnej-mediciny,neuter_cat,,,150,,EUR,https://www.sibra.sk/cennik/ceny-vybranych-operacii,2026-09-25,Kastrácia kocúra (od 150 € s DPH),,,,
sibra-centrum-veterinarnej-mediciny,spay_cat,,,178,,EUR,https://www.sibra.sk/cennik/ceny-vybranych-operacii,2026-09-25,Sterilizácia mačky (od 178 € s DPH),,,,
sibra-centrum-veterinarnej-mediciny,spay_dog,,,410,,EUR,https://www.sibra.sk/cennik/ceny-vybranych-operacii,2026-09-25,Sterilizácia sučky v inhalačnej anestézii (od 410 € s DPH),,,,
vetpoint-veterinarna-klinika,exam,,,33,33,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,Klinické vyšetrenie polysystémové (33 €),,,,
vetpoint-veterinarna-klinika,vaccination_dog,,,79,,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,"Kompletná vakcinácia* pes – psinka, parvoviróza, hepatitída, parainfluenza, lepto + besnota (od 79 €)",,,,
vetpoint-veterinarna-klinika,microchip,,,35,35,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,Aplikácia mikročipu (10 €) + registrácia v CRSZ (25 €),,,,
vetpoint-veterinarna-klinika,neuter_cat,,,160,,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,"Kastrácia kocúr – celková cena zahŕňa klinické vyšetrenie, anestéziu, úkon, materiál a hospitalizáciu (od 160 €)",,,incl. hospitalisation,vrátane hospitalizácie
vetpoint-veterinarna-klinika,spay_cat,,,270,,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,"Sterilizácia mačka – celková cena zahŕňa vyšetrenie, anestéziu, úkon, hospitalizáciu (od 270 €)",,,incl. hospitalisation,vrátane hospitalizácie
vetpoint-veterinarna-klinika,spay_dog,,,680,,EUR,https://cdn.prod.website-files.com/60fb110bb47fc6b287d374e8/6aa6c5589fa42d4f2d0ee0b4_cenni%CC%81k_na%CC%81stenkovy%CC%81_20260913.pdf,2026-09-25,"Sterilizácia sučka – celková cena zahŕňa vyšetrenie, krv, inhalačnú anestéziu, úkon, hospitalizáciu (od 680 €)",,,incl. hospitalisation,vrátane hospitalizácie
veterinarna-poliklinika-bajvet,exam,,,30,30,EUR,https://www.bajvet.sk/cennik/,2026-09-25,Klinické vyšetrenie a konzultácia (30 €),,,,
veterinarna-poliklinika-bajvet,vaccination_dog,,,36,,EUR,https://www.bajvet.sk/cennik/,2026-09-25,Komplexná vakcína pes (od 36 €),,,,
veterinarna-poliklinika-bajvet,neuter_cat,,,80,80,EUR,https://www.bajvet.sk/cennik/,2026-09-25,Kastrácia kocúr (80 €),,,,
veterinarna-poliklinika-bajvet,spay_cat,,,120,120,EUR,https://www.bajvet.sk/cennik/,2026-09-25,Kastrácia samice – mačka (120 €),,,,
veterinarna-poliklinika-bajvet,spay_dog,,5,180,180,EUR,https://www.bajvet.sk/cennik/,2026-09-25,Kastrácia samice – sučka do 5 kg (180 €),,,,
veterinarna-poliklinika-bajvet,spay_dog,5,10,200,200,EUR,https://www.bajvet.sk/cennik/,2026-09-25,Kastrácia samice – sučka 5–10 kg (200 €),,,,
veterinarna-poliklinika-bajvet,spay_dog,10,20,220,220,EUR,https://www.bajvet.sk/cennik/,2026-09-25,Kastrácia samice – sučka 10–20 kg (220 €),,,,
veterinarna-poliklinika-bajvet,spay_dog,20,40,240,240,EUR,https://www.bajvet.sk/cennik/,2026-09-25,Kastrácia samice – sučka 20–40 kg (240 €),,,,
veterinarna-poliklinika-bajvet,spay_dog,40,,270,270,EUR,https://www.bajvet.sk/cennik/,2026-09-25,Kastrácia samice – sučka nad 40 kg (270 €),,,,
mypet-clinic,exam,,,39,39,EUR,https://www.mypet.sk/cennik/,2026-09-25,"Základné klinické vyšetrenie (39,00 €)",,,,
mypet-clinic,vaccination_dog,,,39.5,39.5,EUR,https://www.mypet.sk/cennik/,2026-09-25,"Očkovanie pes Nobivac Kompletka (39,50 €)",,,,
mypet-clinic,microchip,,,29,29,EUR,https://www.mypet.sk/cennik/,2026-09-25,"Čip a čipovanie (29,00 €)",,,,
mypet-clinic,neuter_cat,,,78,78,EUR,https://www.mypet.sk/cennik/,2026-09-25,"Kastrácia kocúr (78,00 €)",,,,
mypet-clinic,spay_cat,,,114,114,EUR,https://www.mypet.sk/cennik/,2026-09-25,"Sterilizácia mačka (114,00 €)",,,,
mypet-clinic,spay_dog,,10,169,169,EUR,https://www.mypet.sk/cennik/,2026-09-25,"Sterilizácia pes do 10 kg (169,00 €)",,,,
mypet-clinic,spay_dog,10,20,198,198,EUR,https://www.mypet.sk/cennik/,2026-09-25,"Sterilizácia pes do 20 kg (198,00 €)",,,,
vet-svet-veterinarna-ambulancia,microchip,,,27,27,EUR,https://vetsvet.sk/povinne-cipovanie-psov/,2026-09-25,"Povinné čipovanie psov na počkanie (27,- EUR)",,,,
super-zoo-veterina,exam,,,28,28,EUR,https://www.superzooveterina.sk/_files/ugd/e88797_e29c988a674f4e2181b24efc0159df98.pdf,2026-09-25,"Klinické vyšetrenie pes, mačka (28,00 €)",,,,
super-zoo-veterina,vaccination_dog,,,65,,EUR,https://www.superzooveterina.sk/_files/ugd/e88797_e29c988a674f4e2181b24efc0159df98.pdf,2026-09-25,Vakcinácia pes infekčné ochorenia (od 35 €) + besnota (od 30 €),,,,
super-zoo-veterina,microchip,,,33.9,33.9,EUR,https://www.superzooveterina.sk/_files/ugd/e88797_e29c988a674f4e2181b24efc0159df98.pdf,2026-09-25,"Čipovanie a registrácia v CRSZ (33,90 €)",,,,
super-zoo-veterina,neuter_cat,,,73,73,EUR,https://www.superzooveterina.sk/_files/ugd/e88797_e29c988a674f4e2181b24efc0159df98.pdf,2026-09-25,Kastrácia kocúr (operačný úkon 42 € + injekčná anestézia 31 €),,,,
super-zoo-veterina,spay_cat,,,133,133,EUR,https://www.superzooveterina.sk/_files/ugd/e88797_e29c988a674f4e2181b24efc0159df98.pdf,2026-09-25,Sterilizácia mačka (operačný úkon 79 € + inhalačná anestézia 54 €),,,,
super-zoo-veterina,spay_dog,,,202,202,EUR,https://www.superzooveterina.sk/_files/ugd/e88797_e29c988a674f4e2181b24efc0159df98.pdf,2026-09-25,Sterilizácia fena (operačný úkon 130 € + inhalačná anestézia 72 €),,,,
veterinarna-klinika-lapvet,exam,,,25,45,EUR,https://www.lapvet.sk#cennik,2026-09-25,"Bežné vyšetrenie – klinické vyšetrenie, konzultácia (25 € – 45 €)",,,,
veterinarna-klinika-lapvet,vaccination_dog,,,20,50,EUR,https://www.lapvet.sk#cennik,2026-09-25,cena pre psov aj mačky; Očkovanie – kompletné očkovanie + zápis (20 € – 50 €),,,,
veterinarna-klinika-lapvet,microchip,,,30,50,EUR,https://www.lapvet.sk#cennik,2026-09-25,Čipovanie + pas – mikročip + medzinárodný pas (30 € – 50 €),,,incl. pet passport,vrátane pasu
petvet-veterinarna-klinika,exam,,,36.6,36.6,EUR,http://www.petvet.sk/#cennik,2026-09-25,"Konzultácia štandardná do 20 min. (36,60 €; vstupná prehliadka bezplatne)",,,,
petvet-veterinarna-klinika,vaccination_dog,,,45.3,45.3,EUR,http://www.petvet.sk/#cennik,2026-09-25,"cena pre psov aj mačky; Vakcinácia – základné vakcíny (45,30 €)",,,,
petvet-veterinarna-klinika,microchip,,,29.5,29.5,EUR,http://www.petvet.sk/#cennik,2026-09-25,"Čipovanie a evidencia v CRSZ (29,50 €)",,,,
petvet-veterinarna-klinika,neuter_cat,,,74,74,EUR,http://www.petvet.sk/#cennik,2026-09-25,"Kastrácia – kocúr (74,00 €)",,,,
petvet-veterinarna-klinika,spay_cat,,,109,109,EUR,http://www.petvet.sk/#cennik,2026-09-25,"Sterilizácia – mačka (109,00 €)",,,,
petvet-veterinarna-klinika,spay_dog,,,222,,EUR,http://www.petvet.sk/#cennik,2026-09-25,"Sterilizácia – fenka (od 222,00 €)",,,,
veterinarna-ambulancia-spektravet,exam,,,17,17,EUR,https://www.spektravet.sk/sk/sluzby/cennik-veterinarnych-sluzieb,2026-09-25,Klinické vyšetrenie (17 €; kontrolné vyšetrenie 10 €),,,,
veterinarna-ambulancia-spektravet,vaccination_dog,,,32,,EUR,https://www.spektravet.sk/sk/sluzby/cennik-veterinarnych-sluzieb,2026-09-25,Kompletná vakcinácia pes – infekčné ochorenia + besnota + zápis do CRSZ (od 32 €),,,,
veterinarna-ambulancia-spektravet,microchip,,,20,20,EUR,https://www.spektravet.sk/sk/sluzby/cennik-veterinarnych-sluzieb,2026-09-25,Čipovanie + mikročip + registrácia do CRSZ (20 €),,,,
veterinarna-ambulancia-spektravet,neuter_cat,,,70,,EUR,https://www.spektravet.sk/sk/sluzby/cennik-veterinarnych-sluzieb,2026-09-25,Kastrácia – kocúr (od 70 € v inhalačnej anestézii),,,,
veterinarna-ambulancia-spektravet,spay_cat,,,120,,EUR,https://www.spektravet.sk/sk/sluzby/cennik-veterinarnych-sluzieb,2026-09-25,Sterilizácia – mačka (od 120 € v inhalačnej anestézii),,,,
veterinarna-ambulancia-spektravet,spay_dog,,,150,,EUR,https://www.spektravet.sk/sk/sluzby/cennik-veterinarnych-sluzieb,2026-09-25,Sterilizácia – fena (od 150 € v inhalačnej anestézii),,,,
vetpetrzalka-veterinarna-ambulancia,exam,,,30.82,30.82,EUR,https://www.vetpetrzalka.sk#cennik,2026-09-25,"Klinické vyšetrenie základné (30,82 €)",,,,
vetpetrzalka-veterinarna-ambulancia,vaccination_dog,,,45.85,45.85,EUR,https://www.vetpetrzalka.sk#cennik,2026-09-25,"Kompletná vakcinácia – pes: psinka, parvoviróza, inf. hepatitída, parainfluenza, lepto + besnota (45,85 €)",,,,
vetpetrzalka-veterinarna-ambulancia,microchip,,,30.42,30.42,EUR,https://www.vetpetrzalka.sk#cennik,2026-09-25,"Aplikácia mikročipu (5,00 €) + registrácia v CRSZ (25,42 €)",,,,
vetpetrzalka-veterinarna-ambulancia,neuter_cat,,,99,,EUR,https://www.vetpetrzalka.sk#cennik,2026-09-25,Kastrácia kocúra (od 99 €),,,,
vetpetrzalka-veterinarna-ambulancia,spay_cat,,,120,,EUR,https://www.vetpetrzalka.sk#cennik,2026-09-25,Sterilizácia mačky (od 120 €),,,,
vetpetrzalka-veterinarna-ambulancia,spay_dog,,,240,,EUR,https://www.vetpetrzalka.sk#cennik,2026-09-25,Sterilizácia fenky (od 240 €),,,,
dermavet-veterinarna-ambulancia,exam,,,22,22,EUR,https://dermavet.sk/assets/files/20260701_DermaVet_Cennk.pdf,2026-09-25,Klinické vyšetrenie (22 € s DPH),,,,
dermavet-veterinarna-ambulancia,vaccination_dog,,,40,,EUR,https://dermavet.sk/assets/files/20260701_DermaVet_Cennk.pdf,2026-09-25,Kompletná vakcinácia psa – besnota + infekčné ochorenia psov (od 40 €),,,,
dermavet-veterinarna-ambulancia,microchip,,,25,25,EUR,https://dermavet.sk/assets/files/20260701_DermaVet_Cennk.pdf,2026-09-25,Čipovanie + registrácia do CRSZ (25 €),,,,
dermavet-veterinarna-ambulancia,neuter_cat,,,100,,EUR,https://dermavet.sk/assets/files/20260701_DermaVet_Cennk.pdf,2026-09-25,Kastrácia – kocúr s anestéziou (od 100 €),,,,
veterinarna-ambulancia-mvdr-pavol-cech,exam,,,30,,EUR,https://veterinalamac.sk/cennik,2026-09-25,Vstupné klinické vyšetrenie nový klient (Od 30 €),,,,
petrooms-hotel-pre-macky,cat_night,,,15,20,EUR,https://petrooms.sk/cennik-sluzieb/,2026-09-25,Štandardná izba 15 € / deň; Komfort 17 €; VIP apartmán 20 €,,,,
petrooms-hotel-pre-macky,pickup,,,20,20,EUR,https://petrooms.sk/cennik-sluzieb/,2026-09-25,Mačacie taxi Bratislava a blízke okolie (do 15 km) 20 € / jedna cesta,,,,
cezivet-hotel-pre-macky,cat_night,,,18,20,EUR,https://www.cezivet.sk/macaci-hotel/,2026-09-25,Ubytovanie s vlastnou stravou 18 € / deň; s našou stravou 20 € / deň,,,,
salon-a-hotel-pre-psov-havko,dog_night,,10,17,17,EUR,https://salonhavko.sk/,2026-09-25,Hotel malý pes do 10 kg: 17 € na deň bez stravy,,,,
salon-a-hotel-pre-psov-havko,dog_night,11,40,20,20,EUR,https://salonhavko.sk/,2026-09-25,Hotel veľký pes 11-40 kg: 20 € na deň bez stravy,,,,
salon-a-hotel-pre-psov-havko,daycare_day,,,15,15,EUR,https://salonhavko.sk/,2026-09-25,denná škôlka pre všetky plemená: 15 €,,,,
doghotel,dog_night,,,35,45,EUR,https://www.doghotel.sk/cennik/,2026-09-25,Basic hotel 35 € / deň; Hotel so socializáciou 45 € / deň,,,,
doghotel,extra_walk,,,20,20,EUR,https://www.doghotel.sk/cennik/,2026-09-25,"Venčenie psa mimo areálu hotela (dlhé prechádzky v lese, parku alebo meste) 20 €",,,,
dewen-dog-hotel,dog_night,,20,18,18,EUR,http://www.dewen.sk/cennik.htm,2026-09-25,Viacdenný pobyt v hoteli – malý pes (do 20 kg): 18 € za deň,,,,
dewen-dog-hotel,dog_night,20,,24,24,EUR,http://www.dewen.sk/cennik.htm,2026-09-25,Viacdenný pobyt v hoteli – pes nad 20 kg: 24 € za deň,,,,
dewen-dog-hotel,daycare_day,,,12,18,EUR,http://www.dewen.sk/cennik.htm,2026-09-25,"Škôlka pre psov: 12 € (do 20 kg), 18 € (nad 20 kg)",,,,
duncovna,dog_night,,,25,30,EUR,https://www.duncovna.sk/cennik,2026-09-25,"Hotel 1 noc: pravidelný klient 25 €, nový / nepravidelný 30 €",,,,
duncovna,daycare_day,,,17,17,EUR,https://www.duncovna.sk/cennik,2026-09-25,Škôlka celý deň (6+ hodín) 17 €; poldenná 12 €,,,,
duncovna,daycare_pass,,,150,150,EUR,https://www.duncovna.sk/cennik,2026-09-25,Permanentka 10× celý deň 150 €,,,,
tlapky-zvieracia-druzina,dog_night,,10,22,22,EUR,https://tlapky.sk/cennik/,2026-09-25,Hotel (cena za 24h) – psy do 10 kg: 22 € (mimo prázdnin),,,,
tlapky-zvieracia-druzina,dog_night,10,20,24,24,EUR,https://tlapky.sk/cennik/,2026-09-25,Hotel (cena za 24h) – psy do 20 kg: 24 € (mimo prázdnin),,,,
tlapky-zvieracia-druzina,dog_night,20,,26,26,EUR,https://tlapky.sk/cennik/,2026-09-25,Hotel (cena za 24h) – psy nad 20 kg: 26 € (mimo prázdnin),,,,
tlapky-zvieracia-druzina,daycare_day,,,14,16,EUR,https://tlapky.sk/cennik/,2026-09-25,"Psia škôlka celý deň (7-19h): do 10 kg 14 €, do 20 kg 15 €, nad 20 kg 16 €",,,,
tlapky-zvieracia-druzina,daycare_pass,,,250,290,EUR,https://tlapky.sk/cennik/,2026-09-25,"Psia škôlka mesačný paušál: do 10 kg 250 €, do 20 kg 270 €, nad 20 kg 290 €",,,,
dogtrainer-peter-peller,dog_night,,,30,32,EUR,https://www.dogtrainer.sk/cennik/,2026-09-25,Hotel pre psov 32 EUR / kalendárny deň; od 7 dní 30 EUR / deň; skúšobný deň 40 EUR,,,,
pohodog-team,dog_night,,,40,40,EUR,https://www.pohodog.sk/cennik/,2026-09-25,Celodenné s prespaním (12 hodín +) 40 €,,,,
pohodog-team,daycare_day,,,20,20,EUR,https://www.pohodog.sk/cennik/,2026-09-25,Denné stráženie počas pracovnej doby (7:00 – 15:00) 20 €,,,,
pohodog-team,pickup,,,0.50,0.50,EUR,https://www.pohodog.sk/cennik/,2026-09-25,Odvoz / dovoz psíka 0.50 €/km,per_km,,,
zvieratkovo-raca,dog_night,,10,25,25,EUR,https://www.zvieratkovo-raca.sk/wp-content/uploads/2025/11/Cennik-sluzieb-Zvieratkovo-platny-od-1.11.2025.pdf,2026-09-25,Starostlivosť za celý deň – malý pes do 10 kg: 25 €,,,,
zvieratkovo-raca,dog_night,10,20,30,30,EUR,https://www.zvieratkovo-raca.sk/wp-content/uploads/2025/11/Cennik-sluzieb-Zvieratkovo-platny-od-1.11.2025.pdf,2026-09-25,Starostlivosť za celý deň – stredný pes nad 10 kg: 30 €,,,,
zvieratkovo-raca,dog_night,20,,35,35,EUR,https://www.zvieratkovo-raca.sk/wp-content/uploads/2025/11/Cennik-sluzieb-Zvieratkovo-platny-od-1.11.2025.pdf,2026-09-25,Starostlivosť za celý deň – veľký pes nad 20 kg: 35 €,,,,
zvieratkovo-raca,cat_night,,,20,20,EUR,https://www.zvieratkovo-raca.sk/wp-content/uploads/2025/11/Cennik-sluzieb-Zvieratkovo-platny-od-1.11.2025.pdf,2026-09-25,Starostlivosť za celý deň – mačka: 20 €,,,,
zvieratkovo-raca,daycare_day,,,15,15,EUR,https://www.zvieratkovo-raca.sk/wp-content/uploads/2025/11/Cennik-sluzieb-Zvieratkovo-platny-od-1.11.2025.pdf,2026-09-25,Škôlka pobyt od 5 do 12h: 15 € (do 5h: 10 €),,,,
zvieratkovo-raca,pickup,,,0.50,0.50,EUR,https://www.zvieratkovo-raca.sk/wp-content/uploads/2025/11/Cennik-sluzieb-Zvieratkovo-platny-od-1.11.2025.pdf,2026-09-25,"Odvoz a dovoz zvieraťa podľa požiadaviek majiteľa: 0,50 € / km",per_km,,,
ako-doma-hotel-pre-psov,dog_night,,5,20,20,EUR,http://ako-doma.sk/,2026-09-25,Stráženie Bratislava: psík do 5 kg: 20 eur (v Bratislave len malé plemená do 5 kg),,,,
ako-doma-hotel-pre-psov,pickup,,,0.30,0.30,EUR,http://ako-doma.sk/,2026-09-25,"Preprava: 0,30 eur za 1km",per_km,,,
doggie-vycvikova-skola,puppy_course,,,80,100,EUR,https://doggie.sk/kategoria-produktu/vycviky/,2026-09-25,Baby Dog prezenčne 80–100 €; Puppy Group 100 € (pôvodne 170 €),,,,
doggie-vycvikova-skola,obedience_course,,,100,100,EUR,https://doggie.sk/kategoria-produktu/vycviky/,2026-09-25,Basic Group 100 € (akcia z 170 €); Základná poslušnosť Individual prezenčne 200–245 €,,,,
