name,category,address,district,phone,email,website,animals,source_url,observed_at,notes
SAR DA – Výcvikové kynologické centrum (Poslušný pes),training,"Bojnická 10, 831 04 Bratislava",nove-mesto,+421 910 810 324,vycvik@sarda.sk,https://poslusnypes.sk,dog,https://poslusnypes.sk,2026-09-20,"Kynologické centrum v Novom Meste (kurzy poslušnosti, záchranársky výcvik SAR DA)"
Zuzalo – Chovateľské potreby,shop,"Dunajská 64, 811 08 Bratislava",stare-mesto,+421 940 731 217,info@zuzalo.sk,https://www.zuzalo.sk,dog;cat,https://www.zuzalo.sk,2026-09-20,Kamenná predajňa s krmivom a chovateľskými potrebami pre psov a mačky v Starom Meste
Sponzia – Chovateľské potreby,shop,"Mierová 68, 821 05 Bratislava",ruzinov,+421 2 4363 0703,shop@sponzia.sk,https://www.sponzia.sk,dog;cat,https://www.sponzia.sk,2026-09-20,Kamenná predajňa chovateľských potrieb a krmív v Ružinove
Goio Pet Shop,shop,"Bosákova 9, 851 04 Bratislava",petrzalka,+421 904 810 137,,https://goiopet.sk,dog;cat,https://goiopet.sk,2026-09-20,"Kamenná predajňa chovateľských potrieb, krmív a príslušenstva v Petržalke"
Chovateľské potreby Fanzy,shop,"Drieňová 81/40, 821 02 Bratislava",ruzinov,+421 944 413 208,chovprodukt.fanzy@gmail.com,,dog;cat,https://oma.sk/chovatelske-potreby-fanzy-od-buducnost,2026-09-20,Predajňa chovateľských potrieb a krmív v OD Budúcnosť v Ružinove
Super zoo – Bajkalská,shop,"Bajkalská 29/F, 821 05 Bratislava",ruzinov,+421 918 605 900,bajkalskaba@superzoo.sk,https://www.superzoo.sk,dog;cat,https://www.superzoo.sk,2026-09-20,"Veľkoplošná predajňa chovateľských potrieb a krmív (bývalý ZooDom) v Ružinove"
Super zoo – Aupark,shop,"Einsteinova 18, 851 01 Bratislava",petrzalka,+421 914 347 120,aupark@superzoo.sk,https://www.superzoo.sk,dog;cat,https://www.superzoo.sk,2026-09-20,Predajňa chovateľských potrieb v OC Aupark Petržalka
PetCenter – Stanica Nivy,shop,"Mlynské nivy 5/A, 821 09 Bratislava",ruzinov,+421 909 255 234,bratislavanivy@petcenter.sk,https://www.petcenter.sk,dog;cat,https://www.petcenter.sk,2026-09-20,Predajňa chovateľských potrieb v nákupnom centre Nivy
PetCenter – OC Galéria Petržalka,shop,"Panónska cesta 25, 851 04 Bratislava",petrzalka,+421 909 255 202,,https://www.petcenter.sk,dog;cat,https://www.petcenter.sk,2026-09-20,Predajňa chovateľských potrieb v OC Galéria Petržalka
Vet Lekáreň (MVDr. Pavol Šimun),shop,"Kalinčiakova 1, 831 04 Bratislava",nove-mesto,+421 908 382 206,info@vetlekaren.sk,https://www.vetlekaren.sk,dog;cat,https://www.vetlekaren.sk,2026-09-20,Špecializovaná veterinárna lekáreň a predajňa veterinárnych liečiv a doplnkov v Novom Meste
Lekáreň HUMAVET,shop,"Sibírska 1597/11, 831 02 Bratislava",nove-mesto,+421 2 4425 1143,lekaren.humavet@gmail.com,,dog;cat,https://www.e-vuc.sk,2026-09-20,Verejná lekáreň so špecializáciou na humánne a veterinárne liečivá v Novom Meste
